NdUnfilled_min_value,MendeleevNumber_arithmetic_average,MendeleevNumber_composition_average,MeltingT_difference,BCCvolume_padiff_difference,NdUnfilled_arithmetic_average,BCCmagmom_min_value,ElasticModulus_difference,HHIr_min_value,MiracleRadius_composition_average,MendeleevNumber_max_value,GSenergy_pa_min_value,IonicRadii_composition_average,AtomicVolume_difference,MiracleRadius_min_value,valence_max_value,NdUnfilled_composition_average,GSenergy_pa_max_value,BCCenergy_pa_max_value,MiracleRadius_arithmetic_average,HeatVaporization_max_value,BCCvolume_pa_arithmetic_average,ThermalExpansionCoefficient_difference,CovalentRadius_difference,AtomicRadii_composition_average
0.0,71.0,71.0,240.79000000000008,0.24,0.0,0.0,24.5,1000.0,140.5,73.0,-3.74542312,0.64,1.3887407827073996,140.0,3.0,0.0,-3.74542312,-3.65018713,140.5,290.8,15.54,7.099999999999998,1.0,1.381
8.0,58.5,58.5,1194.53,0.885,4.0,0.0,23.5,1000.0,149.5,73.0,-3.74542312,0.69,6.6715187516816,141.0,4.0,4.0,-3.74542312,-3.65018713,149.5,590.5,19.835,17.400000000000002,54.0,1.515
0.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,1000.0,143.0,66.0,-3.20969261,0.85,0.0,143.0,3.0,0.0,-3.20969261,-3.18445282,143.0,324.43,16.73,0.0,0.0,1.442
0.0,65.5,65.5,102.39999999999986,0.16,0.0,0.0,1.7000000000000028,1000.0,143.5,66.0,-3.20969261,1.0,0.128584333410302,143.0,3.0,0.0,-3.20969261,-3.18445282,143.5,324.43,16.465,4.699999999999999,9.0,1.443
0.0,68.0,68.0,743.1099999999999,0.125,0.0,0.0,16.299999999999997,1000.0,150.0,70.0,-3.20969261,0.8999999999999999,4.6329618393145005,143.0,3.0,0.0,-3.20969261,-3.18445282,150.0,324.43,18.19,16.6,8.0,1.4655
5.0,58.0,58.0,1558.67,0.03,2.5,0.0,243.7,1000.0,141.0,66.0,-3.20969261,0.72,1.4461829286781978,139.0,6.0,2.5,-3.20969261,-3.18445282,141.0,590.4,16.21,9.4,18.0,1.402
6.0,56.5,56.5,1412.67,0.03,3.0,0.0,25.700000000000003,1000.0,143.0,66.0,-3.20969261,0.745,1.055069363836303,143.0,5.0,3.0,-3.20969261,-3.18445282,143.0,690.1,17.455,6.9,28.0,1.4355
0.0,64.0,64.0,490.72,0.03,0.0,0.0,48.7,1000.0,142.5,66.0,-3.20969261,0.745,2.2486773479167983,142.0,4.0,0.0,-3.20969261,-3.18445282,142.5,393.3,15.6,2.3999999999999986,3.0,1.4085
2.0,62.5,62.5,899.6700000000001,0.27,1.0,0.3703569,251.7,1000.0,137.5,66.0,-3.20969261,0.76,3.2215538057329987,132.0,6.0,1.0,-3.20969261,-3.18445282,137.5,495.39,15.335,6.0,6.0,1.3935
3.0,61.0,61.0,1269.67,0.37,1.5,5.73e-05,351.7,1000.0,138.5,66.0,-3.20969261,0.735,3.3791892071803997,134.0,8.0,1.5,-3.20969261,-3.18445282,138.5,567.77,15.32,7.799999999999999,10.0,1.3835
5.0,59.5,59.5,1092.67,0.125,2.5,0.0,301.7,1000.0,139.5,66.0,-3.20969261,0.7050000000000001,2.7960521079537983,136.0,7.0,2.5,-3.20969261,-3.18445282,139.5,502.0,15.585,6.199999999999999,11.0,1.4
9.0,39.0,39.0,461.6700000000001,0.135,4.5,0.0,13.899999999999991,1000.0,161.0,66.0,-3.20969261,0.935,16.066149266039105,143.0,3.0,4.5,-3.20969261,-3.18445282,161.0,393.3,24.630000000000003,2.8999999999999986,54.0,1.626
8.0,55.0,55.0,790.6700000000001,0.475,4.0,0.0,15.700000000000005,1000.0,150.5,66.0,-3.20969261,0.845,6.318879652711001,143.0,4.0,4.0,-3.20969261,-3.18445282,150.5,590.5,19.74,8.5,39.0,1.521
0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1500.0,201.0,7.0,-1.948329565,1.0,0.0,201.0,2.0,0.0,-1.948329565,-1.92725921,201.0,154.67,36.82,0.0,0.0,1.97
0.0,36.0,36.0,119.93000000000006,0.0,0.0,0.0,59.0,1400.0,172.5,65.0,-1.948329565,1.075,25.8615393525808,144.0,2.0,0.0,-1.948329565,-1.92725921,172.5,250.63,26.51,3.400000000000002,31.0,1.707
0.0,38.5,38.5,520.78,0.0,0.0,0.0,41.0,1300.0,179.0,70.0,-1.948329565,0.975,21.3571618466766,157.0,2.0,0.0,-1.948329565,-1.92725921,179.0,154.67,28.235,8.5,32.0,1.7295
6.0,27.0,27.0,1635.0,0.0,3.0,0.0,83.0,1500.0,172.0,47.0,-1.948329565,0.8200000000000001,24.9350543221548,143.0,5.0,3.0,-1.948329565,-1.92725921,172.0,690.1,27.5,15.0,12.0,1.6995
9.0,9.5,9.5,684.0,0.0,4.5,0.0,43.400000000000006,1500.0,190.0,12.0,-1.948329565,1.01,9.923974419951996,179.0,3.0,4.5,-1.948329565,-1.92725921,190.0,393.3,34.675,11.0,14.0,1.89
8.0,25.5,25.5,1013.0,0.0,4.0,0.0,73.0,1500.0,179.5,44.0,-1.948329565,0.92,19.6712440332801,158.0,4.0,4.0,-1.948329565,-1.92725921,179.5,590.5,29.785,16.6,1.0,1.785
0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,1500.0,126.0,64.0,-3.68065482,0.73,0.0,126.0,2.0,0.0,-3.68065482,-3.64288728,126.0,300.5,11.08,0.0,0.0,1.278
0.0,64.5,64.5,122.83999999999992,0.14,0.0,0.0,44.0,1400.0,135.0,65.0,-3.68065482,0.94,5.245706017990901,126.0,2.0,0.0,-3.68065482,-3.64288728,135.0,300.5,13.64,2.3999999999999986,13.0,1.361
0.0,68.5,68.5,424.3,0.43,0.0,0.0,53.5,1000.0,133.5,73.0,-3.68065482,0.635,4.764482585610001,126.0,3.0,0.0,-3.68065482,-3.64288728,133.5,300.5,14.0,6.600000000000001,11.0,1.354
0.0,65.0,65.0,20.44000000000005,0.0199999999999999,0.0,0.0,45.7,1000.0,134.5,66.0,-3.68065482,0.79,5.117121684580599,126.0,3.0,0.0,-3.68065482,-3.64288728,134.5,324.43,13.905,2.3000000000000007,4.0,1.36
0.0,75.0,75.0,813.37,3.05,0.0,0.0,90.0,1500.0,144.0,86.0,-3.68065482,0.88,23.653517150306502,126.0,5.0,0.0,-3.68065482,-3.64288728,144.0,300.5,20.495,3.1,16.0,1.489
0.0,67.0,67.0,763.55,0.145,0.0,0.0,62.0,1300.0,141.5,70.0,-3.68065482,0.84,9.7500835238951,126.0,2.0,0.0,-3.68065482,-3.64288728,141.5,300.5,15.364999999999998,14.3,12.0,1.3835000000000002
3.0,61.0,61.0,410.23,0.185,1.5,1.6840372,84.0,1500.0,125.5,64.0,-3.68065482,0.69,0.8340812487866991,125.0,3.0,1.5,-3.68065482,-3.64288728,125.5,373.3,10.76,3.5,6.0,1.2654999999999998
5.0,56.5,56.5,822.23,0.03,2.5,0.0,135.0,1500.0,128.0,64.0,-3.68065482,0.675,0.2629955419937015,126.0,6.0,2.5,-3.68065482,-3.64288728,128.0,339.5,11.125,11.6,7.0,1.2635
4.0,59.5,59.5,453.23,0.01,2.0,2.1106628,87.0,1400.0,125.5,64.0,-3.68065482,0.64,0.0525769623576,125.0,6.0,2.0,-3.68065482,-3.64288728,125.5,349.5,10.905,4.699999999999999,0.0,1.2595
0.0,69.0,69.0,1054.86,0.9275,0.0,0.0,113.0,1500.0,130.0,74.0,-3.68065482,0.675,7.780571551182501,126.0,3.0,0.0,-3.68065482,-3.64288728,130.0,300.5,14.510000000000002,3.1999999999999997,10.0,1.344
0.0,71.5,71.5,146.3699999999999,4.194999999999999,0.0,0.0,9.0,1500.0,120.0,79.0,-3.68065482,0.63,10.831034450458702,114.0,4.0,0.0,-3.68065482,-3.64288728,120.0,334.3,14.95,10.8,12.0,1.324
8.0,54.5,54.5,1148.23,0.34,4.0,0.0,15.0,1500.0,142.0,64.0,-3.68065482,0.78,10.438769262540902,126.0,4.0,4.0,-3.68065482,-3.64288728,142.0,661.07,16.475,10.6,43.0,1.421
0.0,67.5,67.5,1123.45,2.917586207,0.0,0.0,102.0,1500.0,139.0,71.0,-3.68065482,0.875,12.7818001377303,126.0,2.0,0.0,-3.68065482,-3.64288728,139.0,300.5,16.705,32.5,0.0,1.439
0.0,69.5,69.5,928.02,0.16,0.0,0.0,110.0,1500.0,140.5,75.0,-3.68065482,0.765,14.2527162284888,126.0,3.0,0.0,-3.68065482,-3.64288728,140.5,300.5,17.755,15.6,10.0,1.469
3.0,62.0,62.0,1381.23,0.41,1.5,0.4830855,409.0,1500.0,131.0,64.0,-3.68065482,0.6799999999999999,2.318608536712801,126.0,3.0,1.5,-3.68065482,-3.64288728,131.0,563.58,12.855,10.1,9.0,1.3175
0.0,66.0,66.0,434.77,0.02,0.0,0.0,79.6,500.0,143.0,68.0,-3.68065482,0.725,11.3923511637268,126.0,2.0,0.0,-3.68065482,-3.64288728,143.0,300.5,16.98,8.3,9.0,1.439
5.0,58.0,58.0,161.23000000000002,0.012413793,2.5,0.8185729,74.0,1500.0,129.0,64.0,-3.68065482,0.7,0.3827625336986013,126.0,7.0,2.5,-3.68065482,-3.64288728,129.0,300.5,10.795,5.199999999999999,7.0,1.259
5.0,57.0,57.0,1538.23,0.01,2.5,0.0,198.0,1500.0,132.5,64.0,-3.68065482,0.6599999999999999,3.6709387559024016,126.0,6.0,2.5,-3.68065482,-3.64288728,132.5,590.4,13.385,11.7,22.0,1.32
6.0,55.5,55.5,1392.23,0.01,3.0,0.0,20.0,1500.0,134.5,64.0,-3.68065482,0.685,6.172191048416902,126.0,5.0,3.0,-3.68065482,-3.64288728,134.5,690.1,14.63,9.2,32.0,1.3535
2.0,62.5,62.5,370.23,0.0,1.0,0.0645672,84.0,1500.0,126.0,64.0,-3.68065482,0.71,0.8886574901947988,126.0,3.0,1.0,-3.68065482,-3.64288728,126.0,377.5,10.705,3.1,8.0,1.262
4.0,60.5,60.5,1948.23,0.48,2.0,0.0,426.0,1500.0,130.5,64.0,-3.68065482,0.6799999999999999,2.153755736190101,126.0,8.0,2.0,-3.68065482,-3.64288728,130.5,627.6,12.83,11.4,12.0,1.3090000000000002
0.0,72.5,72.5,757.16,0.2,0.0,0.0,104.0,1500.0,150.0,81.0,-3.68065482,0.96,18.5114810808394,126.0,4.0,0.0,-3.68065482,-3.64288728,150.0,300.5,19.5,12.3,14.0,1.514
0.0,63.0,63.0,470.28,0.0499999999999999,0.0,0.0,3.0,1500.0,134.0,64.0,-3.68065482,0.685,2.868444336663801,126.0,4.0,0.0,-3.68065482,-3.64288728,134.0,393.3,12.775,4.699999999999999,7.0,1.3265
1.0,63.5,63.5,683.6300000000001,0.04,0.5,0.0,51.0,1500.0,132.5,64.0,-3.68065482,0.6799999999999999,3.5305215748343013,126.0,4.0,0.5,-3.68065482,-3.64288728,132.5,510.45,13.075,7.699999999999999,4.0,1.329
5.0,59.0,59.0,2101.23,0.1349999999999999,2.5,0.0,337.0,1500.0,131.5,64.0,-3.68065482,0.63,2.8803922977136,126.0,7.0,2.5,-3.68065482,-3.64288728,131.5,707.1,12.94,10.3,19.0,1.324
2.0,61.5,61.5,879.23,0.29,1.0,0.3703569,206.0,1500.0,129.0,64.0,-3.68065482,0.7,1.8955678788476007,126.0,6.0,1.0,-3.68065482,-3.64288728,129.0,495.39,12.51,8.3,10.0,1.3115
3.0,60.0,60.0,1249.23,0.39,1.5,5.73e-05,306.0,1500.0,130.0,64.0,-3.68065482,0.675,1.7379324774002,126.0,8.0,1.5,-3.68065482,-3.64288728,130.0,567.77,12.495,10.1,14.0,1.3015
0.0,76.0,76.0,969.41,10.176875,0.0,0.0,105.0,1000.0,114.5,88.0,-3.68065482,0.51,15.336603862771302,103.0,6.0,0.0,-3.68065482,-3.64288728,114.5,300.5,13.35,53.5,27.0,1.274
0.0,74.5,74.5,453.99,4.48,0.0,0.0,57.0,1500.0,140.5,85.0,-3.68065482,0.745,18.3614815118892,126.0,5.0,0.0,-3.68065482,-3.64288728,140.5,300.5,19.085,5.5,7.0,1.4340000000000002
9.0,37.5,37.5,456.23,0.045,4.5,0.0,44.0,1500.0,144.0,64.0,-3.68065482,0.74,13.1793689866917,126.0,3.0,4.5,-3.68065482,-3.64288728,144.0,304.8,16.64,6.5,38.0,1.4420000000000002
0.0,71.0,71.0,329.23,5.84,0.0,0.0,38.0,1000.0,118.0,78.0,-3.68065482,0.495,8.186435784712902,110.0,4.0,0.0,-3.68065482,-3.64288728,118.0,359.0,12.845,13.9,21.0,1.299
